iter	Logloss
1615	0.2382525345
1620	0.2382402651
1625	0.2382286582
1630	0.2382143275
1635	0.2382005612
1640	0.2381880464
1645	0.2381771512
1650	0.2381651517
1655	0.2381532994
1660	0.2381386006
1665	0.2381256932
1670	0.2381151169
1675	0.2381005408
1680	0.2380874862
1685	0.2380756339
1690	0.238066898
1695	0.2380545795
1700	0.2380408378
1705	0.2380287156
1710	0.2380177222
1715	0.2380073668
1720	0.2379945084
1725	0.2379829015
1730	0.2379728651
1735	0.2379594178
1740	0.2379454061
1745	0.237933971
1750	0.2379217507
1755	0.2379069783
1760	0.2378915433
1765	0.2378778261
1770	0.2378691148
1775	0.2378587839
1780	0.2378487966
1785	0.2378332635
1790	0.237821902
1795	0.2378116939
1800	0.2377982466
1805	0.2377864679
1810	0.2377724808
1815	0.2377618309
1820	0.2377493897
1825	0.2377351326
1830	0.2377231086
1835	0.2377114526
1840	0.2376998948
1845	0.237688018
1850	0.2376750124
1855	0.2376616633
1860	0.2376497128
1865	0.2376383759
1870	0.2376264745
1875	0.237610328
1880	0.2375991628
1885	0.237585102
1890	0.2375724645
1895	0.2375630416
1900	0.2375507721
1905	0.2375370794
1910	0.2375254235
1915	0.2375141847
1920	0.2375023079
1925	0.2374882962
1930	0.2374741127
1935	0.2374615488
1940	0.237448077
1945	0.2374367891
1950	0.2374242743
1955	0.2374104344
1960	0.2373989747
1965	0.2373845213
1970	0.2373734052
1975	0.237360915
1980	0.2373481547
1985	0.2373350755
1990	0.237324033
1995	0.2373104385
2000	0.2372966477
2005	0.2372843537
2010	0.2372709555
2015	0.2372574346
2020	0.2372431039
2025	0.237229583
2030	0.2372176571
2035	0.2372041362
2040	0.2371918913
2045	0.2371798918
2050	0.23716934
2055	0.2371572915
2060	0.2371447276
2065	0.237132998
2070	0.2371208758
2075	0.2371073058
2080	0.2370947419
2085	0.2370817363
2090	0.2370722398
2095	0.2370581545
2100	0.2370454433
2105	0.2370335911
2110	0.2370226222
2115	0.2370107699
2120	0.2369999483
2125	0.2369867464
2130	0.2369738389
2135	0.2369626983
2140	0.2369522693
2145	0.2369418893
2150	0.2369307487
2155	0.2369181602
2160	0.2369063325
2165	0.2368934496
2170	0.2368820145
2175	0.236867831
2180	0.2368562732
2185	0.2368452307
2190	0.2368350471
2195	0.2368224587
2200	0.2368098948
2205	0.2367962512
2210	0.236784448
2215	0.2367726693
2220	0.2367621667
2225	0.236750069
2230	0.2367372107
2235	0.2367239351
2240	0.2367129172
2245	0.2367014575
2250	0.2366898752
2255	0.2366769923
2260	0.2366656308
2265	0.2366547846
2270	0.2366419753
2275	0.2366302948
2280	0.2366176819
2285	0.2366052407
2290	0.2365948116
2295	0.2365812416
2300	0.236567868
2305	0.2365572181
2310	0.2365465682
2315	0.2365346178
2320	0.2365209742
2325	0.2365080913
2330	0.2364934416
2335	0.236481712
2340	0.2364695407
2345	0.2364581792
2350	0.2364443148
2355	0.2364285854
2360	0.2364158497
2365	0.23640466
2370	0.2363947954
2375	0.236385397
2380	0.2363764158
2385	0.2363648334
2390	0.236351975
2395	0.2363413006
2400	0.2363287613
2405	0.2363168354
2410	0.2363053757
2415	0.2362939406
2420	0.236280935
2425	0.2362680767
2430	0.2362561999
2435	0.2362448384
2440	0.2362326671
2445	0.2362210848
2450	0.2362074902
2455	0.2361956625
2460	0.23618462
2465	0.2361721543
2470	0.2361579217
2475	0.2361473945
2480	0.2361368919
2485	0.2361236655
2490	0.236111715
2495	0.2360999609
2500	0.2360896791
2505	0.2360771643
2510	0.2360671279
2515	0.2360536316
2520	0.2360397426
2525	0.2360282338
2530	0.2360165533
2535	0.2360045293
2540	0.2359907875
2545	0.2359815364
2550	0.2359691933
2555	0.2359591569
2560	0.2359487034
2565	0.2359388633
2570	0.2359278208
2575	0.2359171219
2580	0.2359067665
2585	0.2358958221
2590	0.2358857857
2595	0.2358757248
2600	0.2358663755
2605	0.2358557502
2610	0.2358436034
2615	0.2358313585
2620	0.2358210522
2625	0.2358078994
2630	0.235795998
2635	0.2357857408
2640	0.2357715328
2645	0.2357616191
2650	0.2357511901
2655	0.2357402948
2660	0.2357310437
2665	0.2357190442
2670	0.2357079526
2675	0.2356969592
2680	0.2356883215
2685	0.2356779906
2690	0.2356648378
2695	0.2356535745
2700	0.2356435135
2705	0.235630876
2710	0.2356183612
2715	0.2356068279
2720	0.2355962762
2725	0.2355870251
2730	0.2355751973
2735	0.2355653082
2740	0.2355525725
2745	0.2355399104
2750	0.2355262423
2755	0.235516574
2760	0.235504869
2765	0.2354942191
2770	0.235482146
2775	0.2354709317
2780	0.2354597665
2785	0.2354473499
2790	0.2354346387
2795	0.2354223448
2800	0.2354121857
2805	0.2354007015
2810	0.2353882112
2815	0.2353796471
2820	0.2353693408
2825	0.2353573658
2830	0.2353443602
2835	0.2353338822
2840	0.2353226924
2845	0.2353098586
2850	0.2353001903
2855	0.2352885098
2860	0.2352795286
2865	0.2352660567
2870	0.2352544744
2875	0.2352437509
2880	0.2352319968
2885	0.235221715
2890	0.2352086113
2895	0.2351957774
2900	0.235184465
2905	0.2351725146
2910	0.2351601715
2915	0.2351503069
2920	0.2351394607
2925	0.2351274367
2930	0.2351171549
2935	0.2351076829
2940	0.2350958306
2945	0.2350835857
2950	0.2350718071
2955	0.2350599303
2960	0.2350469492
2965	0.2350353178
2970	0.2350241772
2975	0.2350123985
2980	0.2349988531
2985	0.2349860928
