iter	Logloss
0	0.568097603
5	0.3193929115
10	0.2722409214
15	0.2586332874
20	0.2532383692
25	0.2505251071
30	0.2489603129
35	0.2480452832
40	0.247474043
45	0.247088513
50	0.2466921122
55	0.2464413004
60	0.2461372394
65	0.2458652261
70	0.245665308
75	0.2454970695
80	0.2453182794
85	0.2451222384
90	0.2450013354
95	0.244860924
100	0.2447170772
105	0.2445972539
110	0.2444743879
115	0.2443854345
120	0.2442732673
125	0.2441790136
130	0.2440878026
135	0.2440165908
140	0.2439438331
145	0.2438744617
150	0.2438066118
155	0.2437358172
160	0.243667501
165	0.2436041907
170	0.2435468679
175	0.2434911401
180	0.2434207627
185	0.2433760774
190	0.2433294781
195	0.2432784373
200	0.2432127958
205	0.2431716687
210	0.2431199162
215	0.2430694889
220	0.2430367049
225	0.2429946208
230	0.2429507944
235	0.2429160964
240	0.242874184
245	0.2428347992
250	0.2428005675
255	0.2427633175
260	0.2427325457
265	0.2426976515
270	0.2426617756
275	0.2426275194
280	0.2425925761
285	0.2425677918
290	0.2425364557
295	0.2425162111
300	0.2424783476
305	0.2424510359
310	0.2424158226
315	0.2423937622
320	0.2423681191
325	0.2423482671
330	0.2423163911
335	0.2422896929
340	0.2422639516
345	0.2422385784
350	0.242216518
355	0.2421890099
360	0.2421644465
365	0.242141699
370	0.2421228777
375	0.242098118
380	0.2420794684
385	0.2420578006
390	0.2420330164
395	0.2420092382
400	0.2419908586
405	0.2419717674
410	0.2419527497
415	0.2419298304
420	0.2419102239
425	0.2418935129
430	0.241857269
435	0.2418353313
440	0.2418092219
445	0.241790646
450	0.2417700824
455	0.2417476539
460	0.2417296178
465	0.2417125388
470	0.2416924169
475	0.2416719761
480	0.2416524922
485	0.2416342598
490	0.2416168372
495	0.2416010833
500	0.241576937
505	0.2415594654
510	0.2415427544
515	0.2415276385
520	0.2415096024
525	0.2414889161
530	0.241468328
535	0.2414515435
540	0.2414333356
545	0.2414144898
550	0.2413962083
555	0.2413801108
560	0.2413611668
565	0.2413449466
570	0.2413238677
575	0.2413094634
580	0.2412922126
585	0.2412781764
590	0.2412598459
595	0.2412412945
600	0.2412265466
605	0.2412118969
610	0.241190769
615	0.2411754076
620	0.2411581077
625	0.2411402434
630	0.2411244159
635	0.2411039259
640	0.2410845157
645	0.2410652036
650	0.2410545046
655	0.2410365422
660	0.2410191441
665	0.2410050588
670	0.2409882252
675	0.240971097
680	0.2409544597
685	0.2409374543
690	0.2409199335
695	0.2409011858
700	0.2408863398
705	0.2408712239
710	0.2408531387
715	0.2408383418
720	0.2408224161
725	0.2408017053
730	0.2407883071
735	0.2407683079
740	0.2407551305
745	0.2407370454
750	0.2407185676
755	0.2407043351
760	0.2406858082
765	0.240673367
770	0.2406575149
775	0.2406403868
780	0.2406230624
785	0.2406053944
790	0.2405870638
795	0.2405668438
800	0.2405522187
805	0.2405330047
810	0.2405194102
815	0.2405050059
820	0.2404908224
825	0.2404765408
830	0.2404615476
835	0.2404480021
840	0.2404334506
845	0.2404178929
850	0.240402458
855	0.2403858697
860	0.2403713182
865	0.2403581408
870	0.2403402765
875	0.2403262403
880	0.2403098238
885	0.2402961311
890	0.2402786594
895	0.2402619239
900	0.2402439615
905	0.2402290173
910	0.2402149811
915	0.2401989081
920	0.2401834732
925	0.2401693142
930	0.2401550572
935	0.2401430576
940	0.2401256841
945	0.2401150097
950	0.2400986914
955	0.2400825693
960	0.2400680914
965	0.2400563128
970	0.2400372706
975	0.2400248049
980	0.2400102042
985	0.2399978121
990	0.2399777148
995	0.2399622798
1000	0.2399468449
1005	0.2399354589
1010	0.23992103
1015	0.2399077054
1020	0.2398930066
1025	0.2398787741
1030	0.2398624557
1035	0.2398484441
1040	0.2398320276
1045	0.2398160037
1050	0.2398014276
1055	0.2397864343
1060	0.2397731097
1065	0.239757503
1070	0.2397436386
1075	0.2397286944
1080	0.2397144373
1085	0.2397005974
1090	0.2396888678
1095	0.2396718624
1100	0.2396597157
1105	0.2396419741
1110	0.2396262692
1115	0.2396140243
1120	0.2396013377
1125	0.239587645
1130	0.239574345
1135	0.2395599652
1140	0.2395474504
1145	0.2395321136
1150	0.2395170467
1155	0.2394994523
1160	0.2394862259
1165	0.2394734411
1170	0.2394607055
1175	0.2394438227
1180	0.2394336146
1185	0.2394223512
1190	0.2394109407
1195	0.2393931745
1200	0.2393781322
1205	0.2393673596
1210	0.2393538142
1215	0.2393411276
1220	0.2393260607
1225	0.2393110184
1230	0.2392979883
1235	0.2392845655
1240	0.2392700385
1245	0.2392537692
1250	0.2392405919
1255	0.2392304573
1260	0.2392176235
1265	0.2392076116
1270	0.2391939435
1275	0.2391800545
1280	0.2391650613
1285	0.2391545832
1290	0.2391387311
1295	0.2391260199
1300	0.239109039
1305	0.2390912974
1310	0.2390780955
1315	0.2390655807
1320	0.2390472747
1325	0.2390333612
1330	0.2390179753
1335	0.2390053133
1340	0.2389906881
1345	0.2389736827
1350	0.2389620022
1355	0.2389486776
1360	0.2389346168
1365	0.2389203106
1370	0.2389063726
1375	0.2388944221
1380	0.2388818337
1385	0.2388676012
1390	0.2388519454
1395	0.2388391115
1400	0.2388263268
1405	0.2388117507
1410	0.2387956287
1415	0.23878385
1420	0.2387695439
1425	0.2387534464
1430	0.2387390175
1435	0.2387227973
1440	0.2387111168
1445	0.2386973751
1450	0.2386855719
1455	0.2386726153
1460	0.2386600514
1465	0.2386479538
1470	0.2386347028
1475	0.2386219426
1480	0.2386072684
1485	0.238594729
1490	0.2385810118
1495	0.2385689632
1500	0.2385561294
1505	0.2385392466
1510	0.2385279833
1515	0.2385136281
1520	0.238500966
1525	0.2384898499
1530	0.238476967
1535	0.2384634952
1540	0.2384518637
1545	0.238436257
1550	0.2384235459
1555	0.2384133623
1560	0.2383962832
1565	0.2383842346
1570	0.2383712536
1575	0.2383587878
1580	0.238343451
1585	0.2383317951
1590	0.2383188386
1595	0.2383060047
1600	0.2382938089
1605	0.2382805088
1610	0.2382669879
